,A43ml,A1ml,V43ml,V1ml,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8+,1+
1991 - 42G7,492.29,0.0,5.64,0.0,0.0,13.93,53.72,171.41,10.94,37.75,6.8,10.74,18.84,324.13
1991 - 42G9,3397.22,3007.07,226.34,70.31,1913.7,710.52,741.5,557.52,63.83,200.86,3.76,17.83,50.69,2346.51
1991 - 42H0,1200.01,236.82,2.53,3.71,1985.84,2017.25,453.55,285.87,7.07,57.58,0.0,0.0,7.07,2828.39
1991 - 43G7,1482.5,0.0,27.47,0.0,0.0,2.2,8.25,29.24,2.2,6.05,1.65,1.65,3.85,55.09
1991 - 43G9,2932.69,2010.66,217.25,96.23,1207.26,213.06,252.31,189.39,31.56,78.91,0.0,7.89,15.78,788.9
1991 - 43H0,1984.53,1339.4,141.28,94.79,549.03,884.76,520.24,450.18,26.83,120.74,13.41,13.41,58.13,2087.7
1991 - 43H1,0.0,0.0,0.0,0.0,544.76,1218.03,25.09,12.54,0.0,0.0,0.0,0.0,0.0,1255.66
1991 - 44G7,2674.76,0.0,106.92,0.0,18.87,12.96,99.37,165.16,21.6,47.52,8.64,25.92,51.84,433.01
1991 - 44H0,2761.22,1815.24,129.67,43.71,1625.86,333.12,496.8,436.55,18.8,116.86,9.41,9.41,56.42,1477.37
1991 - 44H1,51.14,0.0,0.37,0.0,3226.7,421.84,8.7,4.35,0.0,0.0,0.0,0.0,0.0,434.89
1991 - 45G7,1223.36,29.11,45.65,0.04,9.17,15.27,350.44,519.0,45.81,122.17,61.08,167.98,244.33,1526.08
1991 - 45G8,3111.87,645.17,156.52,16.7,37.73,29.14,380.41,612.54,58.54,175.1,53.56,137.57,206.35,1653.21
