,A43ml,A1ml,V43ml,V1ml,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8+,1+
1991 - 45G7,1223.36,29.11,45.65,0.04,0.0,64.18,115.01,103.91,18.34,37.69,1.02,5.09,0.0,345.24
1991 - 45G8,3111.87,645.17,156.52,16.7,5.0,113.18,458.46,263.08,64.53,193.59,3.97,7.94,11.91,1116.66
1991 - 45G9,2264.36,752.6,117.71,25.93,90.0,118.11,859.03,224.0,62.11,194.47,52.94,20.36,62.11,1593.13
1991 - 45H0,2872.26,1090.2,93.27,16.71,65.0,107.23,855.26,293.89,178.72,412.04,95.32,80.42,60.57,2083.45
1991 - 45H1,339.17,0.0,3.98,0.0,110.0,42.3,274.26,101.29,89.04,199.24,43.41,40.07,7.79,797.4
1991 - 46G8,1472.8,885.72,157.88,51.52,3.0,46.46,385.03,146.46,49.49,203.02,6.06,6.06,13.13,855.71
1991 - 46G9,2558.93,57.13,132.85,0.59,45.0,96.56,728.15,209.04,81.62,258.81,30.86,15.93,46.78,1467.75
1991 - 46H0,3149.88,1781.62,143.83,54.8,112.0,247.22,1285.73,343.24,128.72,291.14,100.11,30.65,74.57,2501.38
1991 - 46H1,1242.41,149.3,20.03,1.31,43.0,153.92,458.51,130.48,85.63,115.19,77.47,28.54,13.25,1062.99
1991 - 47H0,407.26,364.82,4.98,2.98,32.0,104.47,505.52,221.87,45.77,175.11,39.8,32.83,56.71,1182.08
1991 - 47H1,1939.06,724.72,63.9,13.16,164.0,165.79,590.5,384.2,98.28,277.98,88.36,78.43,44.67,1728.21
1991 - 47H2,1035.88,140.67,17.76,0.63,777.0,232.28,573.24,511.44,55.41,259.98,78.85,61.8,46.88,1819.88
1991 - 48H2,17.46,0.0,0.03,0.0,2636.0,592.5,1629.1,1365.01,115.8,657.71,199.0,118.05,83.2,4760.37
1992 - 37G0,4.04,0.0,0.0,0.0,14.77,14.52,1.35,0.26,0.1,0.0,0.04,0.0,0.0,16.27
1992 - 37G1,225.82,8.0,0.72,0.03,185.66,142.79,13.11,2.45,0.8,0.0,0.09,0.0,0.0,159.24
1992 - 37G2,0.0,0.0,0.0,0.0,97.05,71.16,28.03,10.68,5.04,1.02,0.38,0.0,0.01,116.32
1992 - 38F9,27.76,0.0,0.04,0.0,14.59,10.43,5.32,1.61,0.67,0.0,0.08,0.0,0.0,18.11
1992 - 38G0,150.36,11.88,0.6,0.02,255.57,251.25,23.4,4.51,1.75,0.0,0.68,0.0,0.0,281.59
1992 - 38G1,4.0,0.0,0.02,0.0,30.54,15.22,2.01,0.5,0.0,0.0,0.0,0.0,0.0,17.73
1992 - 38G2,23.76,0.0,0.02,0.0,886.14,649.77,255.95,97.53,46.01,9.34,3.42,0.0,0.13,1062.15
1992 - 38G3,138.42,0.0,0.51,0.0,258.1,107.03,111.48,78.21,46.12,14.07,5.83,0.0,1.19,363.93
1992 - 38G4,138.91,0.0,0.38,0.0,355.31,343.35,159.62,49.32,11.21,1.76,0.71,0.0,0.0,565.97
1992 - 38G8,205.68,0.0,1.21,0.0,12.05,333.81,130.02,285.6,187.36,148.16,83.51,74.26,33.97,1276.69
1992 - 38G9,1507.08,388.03,27.81,2.76,888.28,545.81,135.59,134.6,83.62,39.35,38.85,9.66,7.69,995.17
1992 - 39F9,145.72,0.0,0.38,0.0,65.1,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85
1992 - 39G0,137.51,7.89,0.53,0.01,238.03,30.74,0.85,0.04,0.0,0.0,0.0,0.0,0.0,31.63
1992 - 39G1,3.91,0.0,0.01,0.0,16.38,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61
1992 - 39G2,0.0,0.0,0.0,0.0,644.79,272.39,150.51,49.44,15.48,2.12,0.88,0.0,0.0,490.82
1992 - 39G3,676.92,3.93,3.93,0.0,56.34,58.8,70.82,37.24,21.61,4.92,1.65,0.0,0.0,195.04
1992 - 39G4,906.2,160.44,7.53,1.18,34.85,80.13,60.99,55.38,28.85,8.07,1.42,0.0,0.47,235.31
1992 - 39G5,3236.26,2623.93,97.48,28.68,14.08,59.23,49.29,52.55,19.58,2.85,0.95,0.43,0.0,184.88
1992 - 39G6,2494.43,1081.63,39.25,8.03,31.09,73.44,50.19,60.73,53.02,8.16,3.0,0.23,0.0,248.77
1992 - 39G7,1613.93,0.0,21.24,0.0,18.09,600.43,469.9,889.31,866.14,303.19,113.62,64.02,44.34,3350.95
