,A43ml,A1ml,V43ml,V1ml
1979 - 48H2,3.49,0.0,0.02,0.0
1979 - 48H3,421.98,24.44,2.72,0.06
1979 - 48H4,758.29,0.0,7.14,0.0
1979 - 48H5,1119.35,0.0,14.66,0.0
1979 - 48H6,27.6,0.0,0.06,0.0
1979 - 48H7,0.0,0.0,0.0,0.0
1979 - 48H8,0.0,0.0,0.0,0.0
1979 - 48H9,0.0,0.0,0.0,0.0
1979 - 48I0,0.0,0.0,0.0,0.0
1979 - 49F9,0.0,0.0,0.0,0.0
1979 - 49G0,0.0,0.0,0.0,0.0
1979 - 49G1,0.0,0.0,0.0,0.0
1979 - 49G2,0.0,0.0,0.0,0.0
1979 - 49G3,0.0,0.0,0.0,0.0
1979 - 49G4,0.0,0.0,0.0,0.0
1979 - 49G5,0.0,0.0,0.0,0.0
1979 - 49G6,0.0,0.0,0.0,0.0
1979 - 49G7,0.0,0.0,0.0,0.0
1979 - 49G8,0.0,0.0,0.0,0.0
1979 - 49G9,0.0,0.0,0.0,0.0
1979 - 49H0,0.0,0.0,0.0,0.0
1979 - 49H1,0.0,0.0,0.0,0.0
1979 - 49H2,0.0,0.0,0.0,0.0
1979 - 49H3,0.0,0.0,0.0,0.0
1979 - 49H4,0.0,0.0,0.0,0.0
1979 - 49H5,0.0,0.0,0.0,0.0
1979 - 49H6,0.0,0.0,0.0,0.0
1979 - 49H7,0.0,0.0,0.0,0.0
1979 - 49H8,0.0,0.0,0.0,0.0
1979 - 49H9,0.0,0.0,0.0,0.0
1979 - 49I0,0.0,0.0,0.0,0.0
1979 - 50F9,0.0,0.0,0.0,0.0
1979 - 50G0,0.0,0.0,0.0,0.0
1979 - 50G1,0.0,0.0,0.0,0.0
1979 - 50G2,0.0,0.0,0.0,0.0
1979 - 50G3,0.0,0.0,0.0,0.0
1979 - 50G4,0.0,0.0,0.0,0.0
1979 - 50G5,0.0,0.0,0.0,0.0
1979 - 50G6,0.0,0.0,0.0,0.0
1979 - 50G7,0.0,0.0,0.0,0.0
1979 - 50G8,0.0,0.0,0.0,0.0
1979 - 50G9,0.0,0.0,0.0,0.0
1979 - 50H0,0.0,0.0,0.0,0.0
1979 - 50H1,0.0,0.0,0.0,0.0
1979 - 50H2,0.0,0.0,0.0,0.0
1979 - 50H3,0.0,0.0,0.0,0.0
1979 - 50H4,0.0,0.0,0.0,0.0
1979 - 50H5,0.0,0.0,0.0,0.0
1979 - 50H6,0.0,0.0,0.0,0.0
1979 - 50H7,0.0,0.0,0.0,0.0
1979 - 50H8,0.0,0.0,0.0,0.0
1979 - 50H9,0.0,0.0,0.0,0.0
